from	to	
7964527	4238408	6
10693860	10908375	1
10693860	11938023	2
10908375	11938023	1
1838257	4238408	1
10801094	11938023	2
11500955	10443817	1
10189214	10443817	1
8380272	10443817	1
10968232	9840637	2
2901002	2110417	1
11945002	2901002	2
6520041	6031995	1
10189214	7508700	2
8773779	7508700	2
9375102	8300135	3
12340241	4909087	3
12340241	6858244	2
6858244	4909087	1
5375464	12340241	2
5375464	4909087	5
5375464	6858244	4
11205149	11221013	3
9375102	11205149	2
9375102	11566849	1
9375102	11221013	5
9375102	10908375	1
11566849	11205149	1
11566849	11221013	4
10908375	11205149	1
10908375	11221013	4
2901002	12289098	1
4876561	2901002	1
7388477	11227308	1
1353723	2901002	1
3348264	4238408	1
8708364	4238408	2
2411802	4001592	1
7964527	4001592	4
7964527	2411802	3
8305660	4909087	5
6925185	4909087	5
11232091	9284423	3
2411802	7273237	31
4590385	7273237	31
8208006	4238408	1
2535611	4238408	2
10189214	9284423	3
10189214	532312	1
532312	9284423	2
9641680	1838257	1
10418812	1838257	1
1927583	532312	1
11884237	2851685	4
11884237	9081267	2
11884237	4238408	4
10189214	2851685	2
10189214	9081267	2
10189214	4238408	4
9081267	2851685	2
9081267	4238408	4
2205969	2851685	2
12096012	11643870	1
11884237	12096012	1
11884237	11643870	2
11897007	12096012	1
11897007	11643870	2
2411802	4238408	1
2205969	4238408	2
7964527	7505395	4
11884237	3944322	2
10418812	3944322	2
9020163	4333359	3
9227188	4333359	3
11219825	9020163	1
11219825	4333359	4
11219825	9227188	1
10128550	2901002	1
2538939	3944322	2
11884237	8468264	4
7964527	8468264	4
7964527	2535611	9
5152563	4333359	2
5152563	4238408	1
10189214	5152563	1
10189214	4333359	3
4238408	4333359	1
3185459	11452713	2
11884237	11452713	2
6417219	2901002	1
6668254	2901002	1
11403935	2901002	1
7932273	2901002	3
5470573	9840637	1
11897007	5470573	1
11897007	9840637	2
2538939	5470573	1
2538939	9840637	2
2901002	8300135	2
4286590	2901002	1
4286590	8300135	3
2901002	2851685	1
3545273	2851685	2
8244247	2851685	2
11037648	2336654	4
7697652	2901002	1
6925185	2198210	2
2901002	6477565	2
2901002	5770501	2
1792467	9698684	1
3483203	9463227	1
100297	3483203	1
100297	9463227	2
12015722	3483203	2
12015722	100297	1
12015722	9463227	3
7964527	3483203	18
7964527	100297	1
7964527	9463227	3
11232091	4238408	2
11232091	2851685	2
10418812	10426037	2
7964527	10426037	2
7204688	67579	1
11932640	7204688	1
11932640	67579	2
7964527	943978	1
9299259	2796875	5
9299259	1966723	5
11051292	11990697	1
6104959	11990697	1
3911355	11990697	1
4333359	2336654	4
